epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.2256,0.69097,1.23327,0.90643,0.97805,0.95473,0.98008,0.81137,0.6725,0.68902,0.88582,0.00066373,0.00066373,0.00066373
2,178.157,0.72012,0.69328,0.92897,0.97666,0.96429,0.98512,0.83806,0.60473,0.46218,0.88315,0.00131723,0.00131723,0.00131723
3,264.516,0.71106,0.56132,0.92959,0.97251,0.94746,0.98717,0.84476,0.58652,0.42262,0.87337,0.00195752,0.00195752,0.00195752
4,349.711,0.70169,0.52055,0.92687,0.97777,0.9625,0.98512,0.83487,0.62627,0.4485,0.87486,0.0019406,0.0019406,0.0019406
5,434.881,0.67087,0.47856,0.91926,0.98179,0.96277,0.98399,0.84918,0.58004,0.42632,0.87481,0.0019208,0.0019208,0.0019208
6,521.528,0.65549,0.45155,0.92005,0.98354,0.96062,0.9863,0.83894,0.58482,0.37349,0.86825,0.001901,0.001901,0.001901
7,609.732,0.64712,0.43473,0.91353,0.95341,0.93036,0.97755,0.84862,0.55416,0.39692,0.86856,0.0018812,0.0018812,0.0018812
8,696.742,0.63065,0.4178,0.90621,0.98721,0.9646,0.98726,0.85616,0.53669,0.33908,0.86114,0.0018614,0.0018614,0.0018614
9,783.685,0.62099,0.40888,0.904,0.95558,0.96429,0.98113,0.85929,0.53591,0.50971,0.86358,0.0018416,0.0018416,0.0018416
10,870.995,0.62586,0.40637,0.907,0.98899,0.96226,0.98909,0.85947,0.53699,0.3171,0.85723,0.0018218,0.0018218,0.0018218
11,958.599,0.61911,0.40488,0.90511,0.99515,0.96071,0.98916,0.86849,0.50403,0.30191,0.84862,0.001802,0.001802,0.001802
12,1045.23,0.60812,0.38991,0.89983,0.9856,0.97811,0.99314,0.87881,0.49229,0.29807,0.84723,0.0017822,0.0017822,0.0017822
13,1131.89,0.59026,0.37173,0.89609,0.98936,0.96786,0.9929,0.8628,0.53944,0.31275,0.86155,0.0017624,0.0017624,0.0017624
14,1218.76,0.59269,0.37361,0.89547,0.98731,0.9723,0.99289,0.87612,0.51558,0.30062,0.8559,0.0017426,0.0017426,0.0017426
15,1304.66,0.58915,0.36646,0.89488,0.99086,0.96744,0.99335,0.8684,0.53251,0.29909,0.85235,0.0017228,0.0017228,0.0017228
16,1391.44,0.58957,0.3683,0.89673,0.99445,0.95947,0.98404,0.87163,0.50592,0.30662,0.84822,0.001703,0.001703,0.001703
17,1479.3,0.58493,0.36632,0.89616,0.97671,0.97342,0.99316,0.87536,0.49613,0.28626,0.84692,0.0016832,0.0016832,0.0016832
